tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-04-26 13:00:00,2025-04-28 16:00:00,21.31,2025-04-28 02:00:00,16018,16069
OCOI,2025-04-13 14:00:00,2025-04-14 16:00:00,19.47,2025-04-13 22:00:00,15707,15733
OCO,2025-04-11 17:00:00,2025-04-13 18:00:00,20.52,2025-04-13 00:00:00,15662,15711
OCOI,2025-01-20 13:00:00,2025-01-21 15:00:00,34.89,2025-01-21 05:00:00,13714,13740
OCOI,2025-01-08 07:00:00,2025-01-09 21:00:00,36.00,2025-01-09 14:00:00,13420,13458
OCOI,2025-01-05 02:00:00,2025-01-06 01:00:00,41.65,2025-01-05 10:00:00,13343,13366
OCO,2024-12-22 17:00:00,2024-12-23 10:00:00,37.60,2024-12-23 04:00:00,13023,13040
OCO,2024-12-15 14:00:00,2024-12-16 19:00:00,51.36,2024-12-16 01:00:00,12852,12881
OCO,2024-12-07 19:00:00,2024-12-09 14:00:00,54.03,2024-12-08 23:00:00,12665,12708
OCOI,2024-11-27 17:00:00,2024-11-30 01:00:00,41.84,2024-11-28 16:00:00,12423,12479
OCO,2024-11-27 02:00:00,2024-11-27 15:00:00,43.82,2024-11-27 10:00:00,12408,12421
OCOI,2024-11-20 19:00:00,2024-11-21 10:00:00,32.98,2024-11-21 03:00:00,12257,12272
OCO,2024-11-17 00:00:00,2024-11-18 07:00:00,36.78,2024-11-17 10:00:00,12166,12197
OCOI,2024-04-30 19:00:00,2024-05-01 17:00:00,31.06,2024-05-01 08:00:00,7361,7383
OCOI,2024-04-18 00:00:00,2024-04-18 13:00:00,33.46,2024-04-18 07:00:00,7054,7067
OCO,2024-04-14 23:00:00,2024-04-16 08:00:00,38.06,2024-04-15 10:00:00,6981,7014
OCOI,2024-03-28 13:00:00,2024-03-30 08:00:00,52.84,2024-03-29 21:00:00,6563,6606
OCO,2024-03-22 00:00:00,2024-03-22 12:00:00,55.93,2024-03-22 05:00:00,6406,6418
OCOI,2024-03-19 06:00:00,2024-03-19 14:00:00,56.86,2024-03-19 09:00:00,6340,6348
OCO,2024-03-13 18:00:00,2024-03-14 10:00:00,58.22,2024-03-14 02:00:00,6208,6224
OCO,2024-03-04 01:00:00,2024-03-04 23:00:00,43.66,2024-03-04 12:00:00,5975,5997
OCOI,2024-02-29 12:00:00,2024-03-01 08:00:00,40.57,2024-02-29 23:00:00,5890,5910
OCOI,2024-02-17 02:00:00,2024-02-18 02:00:00,38.84,2024-02-17 14:00:00,5592,5616
OCO,2024-02-15 01:00:00,2024-02-16 03:00:00,43.14,2024-02-15 10:00:00,5543,5569
OCOI,2024-01-24 21:00:00,2024-01-26 22:00:00,29.81,2024-01-25 13:00:00,5035,5084
OCOI,2024-01-17 00:00:00,2024-01-17 17:00:00,35.47,2024-01-17 08:00:00,4846,4863
OCOI,2024-01-07 10:00:00,2024-01-09 02:00:00,32.04,2024-01-08 03:00:00,4616,4656
OCO,2024-01-04 06:00:00,2024-01-05 09:00:00,38.92,2024-01-04 19:00:00,4540,4567
OCO,2023-12-30 19:00:00,2024-01-01 02:00:00,40.32,2023-12-31 10:00:00,4433,4464
OCOI,2023-12-03 18:00:00,2023-12-05 14:00:00,21.46,2023-12-04 15:00:00,3785,3829
OCO,2023-10-24 13:00:00,2023-10-26 23:00:00,11.36,2023-10-26 08:00:00,2828,2885
