tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-06-21 22:00:00,2025-06-23 16:00:00,129.11,2025-06-22 16:00:00,17477,17519
OCOI,2025-05-05 15:00:00,2025-05-07 06:00:00,142.37,2025-05-06 14:00:00,16342,16381
OCOI,2025-04-08 09:00:00,2025-04-09 12:00:00,103.48,2025-04-09 03:00:00,15688,15715
OCO,2025-02-10 00:00:00,2025-02-11 06:00:00,206.80,2025-02-10 14:00:00,14311,14341
OCOI,2025-02-06 19:00:00,2025-02-07 07:00:00,189.99,2025-02-07 00:00:00,14234,14246
OCOI,2025-01-12 22:00:00,2025-01-14 17:00:00,175.36,2025-01-13 12:00:00,13637,13680
OCOI,2025-01-10 16:00:00,2025-01-12 09:00:00,185.02,2025-01-11 10:00:00,13583,13624
OCOI,2025-01-09 14:00:00,2025-01-10 16:00:00,185.21,2025-01-09 21:00:00,13557,13583
OCO,2024-12-24 16:00:00,2024-12-25 19:00:00,200.66,2024-12-25 03:00:00,13176,13203
OCO,2024-12-17 13:00:00,2024-12-18 11:00:00,227.49,2024-12-17 18:00:00,13005,13027
OCOI,2024-12-16 12:00:00,2024-12-17 15:00:00,213.76,2024-12-17 01:00:00,12980,13007
OCOI,2024-11-14 15:00:00,2024-11-15 16:00:00,207.20,2024-11-15 05:00:00,12215,12240
OCOI,2024-11-04 08:00:00,2024-11-05 20:00:00,156.70,2024-11-04 21:00:00,11968,12004
OCOI,2024-11-03 03:00:00,2024-11-04 08:00:00,159.58,2024-11-03 15:00:00,11939,11968
OCO,2024-10-22 06:00:00,2024-10-23 14:00:00,169.06,2024-10-22 15:00:00,11654,11686
OCO,2024-07-25 15:00:00,2024-07-27 22:00:00,186.91,2024-07-27 13:00:00,9527,9582
OCO,2024-07-23 15:00:00,2024-07-25 15:00:00,180.73,2024-07-24 17:00:00,9479,9527
OCO,2024-07-09 21:00:00,2024-07-11 12:00:00,144.59,2024-07-10 07:00:00,9149,9188
OCO,2024-06-18 09:00:00,2024-06-20 11:00:00,140.90,2024-06-19 06:00:00,8633,8683
OCO,2024-04-16 08:00:00,2024-04-17 19:00:00,141.01,2024-04-17 05:00:00,7120,7155
OCOI,2024-04-10 03:00:00,2024-04-11 01:00:00,165.62,2024-04-10 13:00:00,6971,6993
OCO,2024-04-07 14:00:00,2024-04-09 18:00:00,183.36,2024-04-08 09:00:00,6910,6962
OCO,2024-03-28 15:00:00,2024-03-29 14:00:00,189.69,2024-03-28 23:00:00,6671,6694
OCO,2024-03-25 17:00:00,2024-03-26 22:00:00,195.53,2024-03-26 10:00:00,6601,6630
OCOI,2024-03-23 21:00:00,2024-03-24 17:00:00,172.43,2024-03-24 04:00:00,6557,6577
OCO,2024-03-20 14:00:00,2024-03-22 06:00:00,192.56,2024-03-21 00:00:00,6478,6518
OCOI,2024-03-19 23:00:00,2024-03-20 16:00:00,167.02,2024-03-20 05:00:00,6463,6480
OCO,2024-03-03 04:00:00,2024-03-05 00:00:00,133.22,2024-03-04 09:00:00,6060,6104
OCO,2024-01-04 05:00:00,2024-01-06 00:00:00,106.17,2024-01-04 21:00:00,4645,4688
OCO,2023-12-25 07:00:00,2023-12-26 13:00:00,123.12,2023-12-25 18:00:00,4407,4437
OCO,2023-12-24 04:00:00,2023-12-25 07:00:00,115.93,2023-12-24 19:00:00,4380,4407
