tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca,idx_inicio,idx_fim
OCOI,2025-03-26 20:00:00,2025-04-02 08:00:00,13.21,2025-03-31 08:00:00,3847,3886
OCOI,2025-01-31 20:00:00,2025-02-04 08:00:00,18.55,2025-02-03 04:00:00,3523,3544
OCO,2025-01-20 08:00:00,2025-01-24 12:00:00,26.62,2025-01-21 20:00:00,3454,3479
OCO,2024-12-03 08:00:00,2024-12-05 12:00:00,25.21,2024-12-04 16:00:00,3166,3179
OCO,2024-11-24 04:00:00,2024-11-27 20:00:00,18.65,2024-11-25 12:00:00,3111,3133
OCO,2024-11-10 12:00:00,2024-11-13 12:00:00,14.83,2024-11-12 00:00:00,3029,3047
OCO,2024-09-25 12:00:00,2024-10-01 08:00:00,12.93,2024-09-28 20:00:00,2753,2788
OCOI,2024-09-02 00:00:00,2024-09-11 12:00:00,9.55,2024-09-06 20:00:00,2612,2669
OCO,2024-08-12 12:00:00,2024-08-18 16:00:00,10.62,2024-08-14 08:00:00,2489,2526
OCOI,2024-08-01 16:00:00,2024-08-07 20:00:00,8.78,2024-08-05 08:00:00,2424,2461
OCOI,2024-02-21 16:00:00,2024-02-26 08:00:00,17.91,2024-02-23 12:00:00,1452,1480
OCO,2024-01-08 20:00:00,2024-01-14 12:00:00,15.16,2024-01-11 12:00:00,1189,1223
OCOI,2024-01-03 16:00:00,2024-01-09 16:00:00,12.99,2024-01-08 00:00:00,1158,1194
OCO,2023-12-12 04:00:00,2023-12-19 00:00:00,15.36,2023-12-14 20:00:00,1023,1064
OCOI,2023-11-09 04:00:00,2023-11-11 08:00:00,14.39,2023-11-10 04:00:00,825,838
OCO,2023-07-18 00:00:00,2023-07-27 12:00:00,8.32,2023-07-21 00:00:00,140,197
